id,crime_type,complaint_text,severity,language,source,clean_text
1001, Phishing , I received an email claiming to be from my bank asking me to verify my account details and share an OTP. , High , English , Synthetic,received email claiming bank asking verify account details share otp
1002, Phishing , Someone sent me a message saying my account will be blocked unless I click a link and enter my login details. , High , English , Synthetic,someone sent message saying account blocked unless click link enter login details
1003, Phishing , I got a fake email pretending to be from an online shopping site asking me to update my payment information. , Medium , English , Synthetic,got fake email pretending online shopping site asking update payment information
1004, Phishing , I received a suspicious email with a link claiming I won a prize and asking for personal details. , Medium , English , Synthetic,received suspicious email link claiming prize asking personal details
1005, Phishing , A message was sent to me stating that my email password was compromised and I need to reset it using a provided link. , High , English , Synthetic,message sent stating email password compromised need reset using provided link
1006, Phishing , I received a fake SMS from a courier service asking me to click a link to reschedule a delivery. , Medium , English , Synthetic,received fake sms courier service asking click link reschedule delivery
1007, Phishing , Someone impersonated a bank executive and asked for my card details over email. , High , English , Synthetic,someone impersonated bank executive asked card details email
1008, Phishing , I got an email saying my social media account was suspended and asked me to log in through a suspicious link. , Medium , English , Synthetic,got email saying social media account suspended asked log suspicious link
1009, Phishing , I received an email asking me to confirm my identity to continue using an online service. , Low , English , Synthetic,received email asking confirm identity continue using online service
1010, Phishing , A fake notification claimed unusual activity on my account and requested verification through a link. , Medium , English , Synthetic,fake notification claimed unusual activity account requested verification link
1011, Online Fraud , I paid money for an online product but never received the item or any response from the seller. , High , English , Synthetic,paid money online product never received item response seller
1012, Online Fraud , Someone tricked me into transferring money through UPI for a service that was never provided. , High , English , Synthetic,someone tricked transferring money upi service never provided
1013, Online Fraud , I was contacted about a fake investment opportunity and lost money after making a payment. , High , English , Synthetic,contacted fake investment opportunity lost money making payment
1014, Online Fraud , I made an advance payment for a rental service online but the person stopped responding afterward. , Medium , English , Synthetic,made advance payment rental service online person stopped responding afterward
1015, Online Fraud , A seller on an online marketplace took payment but did not deliver the promised product. , Medium , English , Synthetic,seller online marketplace took payment deliver promised product
1016, Online Fraud , I was asked to pay a processing fee for a job offer that turned out to be fake. , Medium , English , Synthetic,asked pay processing fee job offer turned fake
1017, Online Fraud , Someone impersonated a company representative and collected money for a fake service. , High , English , Synthetic,someone impersonated company representative collected money fake service
1018, Online Fraud , I transferred money for an online course that does not exist. , Medium , English , Synthetic,transferred money online course exist
1019, Online Fraud , I lost money after responding to a fake lottery message received online. , High , English , Synthetic,lost money responding fake lottery message received online
1020, Online Fraud , An online seller requested payment outside the platform and then disappeared. , High , English , Synthetic,online seller requested payment outside platform disappeared
1021, Cyberbullying , I am receiving abusive and threatening messages repeatedly on social media. , High , English , Synthetic,receiving abusive threatening messages repeatedly social media
